ID;Giocatore;Ruolo;Ruolo2;Squadra;Min.Gioc.;G;GF;GS;Aut;Ass;CS;GF;GS;Aut;Ass;TS;GF;GS;Aut;Ass;M2;M3;Amm;Esp;Gdv;Gdp;RigS;RigP;Rt;Rs;T;VG;VC;VTS
ALL.;JURIC I.;ALL;ALL;ATALANTA;;6;;;;;6;;;;;6;;;;;;;1;0;;;;;;;;;;
105;CARNESECCHI M.;P;P;ATALANTA;;6,54;0;1;0;0;6,5;0;1;0;0;6,5;0;1;0;0;6,5;6,5;0;0;0;0;0;0;0;0;1;5,5;5,5;5,5
215;BELLANOVA R.;D;D;ATALANTA;;5,54;0;0;0;0;6;0;0;0;0;6;0;0;0;0;5,75;5,83;0;0;0;0;0;0;0;0;1;5,5;6;6
253;DJIMSITI B.;D;D;ATALANTA;;5,54;0;0;0;0;5,5;0;0;0;0;6;0;0;0;0;5,5;5,67;0;0;0;0;0;0;0;0;1;5,5;5,5;6
282;HIEN I.;D;D;ATALANTA;;5,01;0;0;1;0;5,5;0;0;1;0;6;0;0;1;0;5,25;5,5;0;0;0;0;0;0;0;0;1;3;5,5;4
298;KOSSOUNOU O.;D;D;ATALANTA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
374;SCALVINI G.;D;D;ATALANTA;;6,02;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
554;DE ROON M.;C;C;ATALANTA;;6,02;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
559;EDERSON;C;C;ATALANTA;15;6,02;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
618;MALDINI D.;C;C;ATALANTA;;5,53;0;0;0;0;5,5;0;0;0;0;6;0;0;0;0;5,5;5,67;1;0;0;0;0;0;0;0;1;5;5;5,5
643;PASALIC M.;C;C;ATALANTA;;5,53;0;0;0;1;5,5;0;0;0;1;6,5;0;0;0;1;5,5;5,83;0;0;0;0;0;0;0;0;1;6,5;5,5;7,5
667;SAMARDZIC L.;C;C;ATALANTA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
674;SULEMANA;C;C;ATALANTA;15;6,03;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;1;0;0;0;0;0;0;0;0;5,5;5,5;5,5
697;ZALEWSKI N.;C;C;ATALANTA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
847;DE KETELAERE C.;A;A;ATALANTA;;5,04;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,25;5,67;0;0;0;0;0;0;0;0;1;5;5,5;6,5
880;KRSTOVIC N.;A;A;ATALANTA;15;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
942;SCAMACCA G.;A;A;ATALANTA;;6,53;1;0;0;0;7;1;0;0;0;7;1;0;0;0;6,75;6,83;0;0;0;1;0;0;0;0;1;9,5;10;10
ALL.;ITALIANO V.;ALL;ALL;BOLOGNA;;5,5;;;;;5,5;;;;;5,5;;;;;;;0;0;;;;;;;;;;
155;SKORUPSKI L.;P;P;BOLOGNA;;6,53;0;1;0;0;6;0;1;0;0;6,5;0;1;0;0;6,25;6,33;0;0;0;0;0;0;0;0;1;5,5;5;5,5
232;CASALE N.;D;D;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;4,5;0;0;0;0;5;4,83;0;0;0;0;0;0;0;0;1;5;5;4,5
245;DE SILVESTRI L.;D;D;BOLOGNA;;5,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;1;5;6;5,5
309;LUCUMI J.;D;D;BOLOGNA;;4,04;0;0;0;0;5;0;0;0;0;4;0;0;0;0;4,5;4,33;0;0;0;0;0;0;0;0;1;4;5;4
313;LYKOGIANNIS C.;D;D;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;6;0;0;0;0;5;5,33;0;0;0;0;0;0;0;0;1;5;5;6
400;VITIK M.;D;D;BOLOGNA;15;5,53;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,5;5,83;0;0;0;0;0;0;0;0;0;5,5;5,5;6,5
410;ZORTEA N.;D;D;BOLOGNA;15;5,53;0;0;0;0;5,5;0;0;0;0;s,v,;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;0;5,5;5,5;0
566;FABBIAN G.;C;C;BOLOGNA;15;5,53;0;0;0;0;6;0;0;0;0;s,v,;0;0;0;0;5,75;5,75;0;0;0;0;0;0;0;0;0;5,5;6;0
577;FREULER R.;C;C;BOLOGNA;;6,04;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,75;5,67;1;0;0;0;0;0;0;0;1;5,5;5;5
654;POBEGA T.;C;C;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
698;BERNARDESCHI F.;C;C;BOLOGNA;;6,04;0;0;0;0;s,v,;0;0;0;0;6,5;0;0;0;0;6;6,25;0;0;0;0;0;0;0;0;0;6;0;6,5
830;CAMBIAGHI N.;A;A;BOLOGNA;;5,53;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,5;5,83;0;0;0;0;0;0;0;0;1;5,5;5,5;6,5
834;CASTRO S.;A;A;BOLOGNA;15;6,53;0;0;0;0;6;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;0;6,5;6;6,5
870;IMMOBILE C.;A;A;BOLOGNA;;5,53;0;0;0;0;6;0;0;0;0;5;0;0;0;0;5,75;5,5;0;0;0;0;0;0;0;0;1;5,5;6;5
916;ODGAARD J.;A;A;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
920;ORSOLINI R.;A;A;BOLOGNA;;6,04;0;0;0;0;6,5;0;0;0;0;5,5;0;0;0;0;6,25;6;0;0;0;0;0;0;0;0;1;6;6,5;5,5
ALL.;PISACANE F.;ALL;ALL;CAGLIARI;;6,5;;;;;7;;;;;6,5;;;;;;;0;0;;;;;;;;;;
104;CAPRILE E.;P;P;CAGLIARI;;6,04;0;1;0;0;6;0;1;0;0;6;0;1;0;0;6;6;0;0;0;0;0;0;0;0;1;5;5;5
285;IDRISSI R.;D;D;CAGLIARI;15;6,04;0;0;0;0;6;0;0;0;0;s,v,;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;0
311;LUPERTO S.;D;D;CAGLIARI;;7,04;1;0;0;0;7,5;1;0;0;0;7;1;0;0;0;7,25;7,17;0;0;0;1;0;0;0;0;1;10;10,5;10
324;MINA Y.;D;D;CAGLIARI;;6,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;6;5,83;0;0;0;0;0;0;0;0;1;6;6;5,5
335;OBERT A.;D;D;CAGLIARI;;5,53;0;0;0;0;6,5;0;0;0;0;5,5;0;0;0;0;6;5,83;1;0;0;0;0;0;0;0;1;5;6;5
407;ZAPPA G.;D;D;CAGLIARI;;6,04;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
502;ADOPO M.;C;C;CAGLIARI;;6,04;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;1;6;6,5;6,5
555;DEIOLA A.;C;C;CAGLIARI;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
574;FOLORUNSHO M.;C;C;CAGLIARI;;6,04;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
578;GAETANO G.;C;C;CAGLIARI;15;6,53;0;0;0;1;6,5;0;0;0;1;6,5;0;0;0;1;6,5;6,5;0;0;0;0;0;0;0;0;0;7,5;6,5;7,5
655;PRATI M.;C;C;CAGLIARI;;6,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;6;5,83;0;0;0;0;0;0;0;0;1;6;6;5,5
703;MAZZITELLI L.;C;C;CAGLIARI;15;5,53;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6;6,17;1;0;0;0;0;0;0;0;0;5;6;6
822;BORRELLI G.;A;A;CAGLIARI;;6,53;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,5;6,5;1;0;0;0;0;0;0;0;1;6;6;6
861;ESPOSITO S.;A;A;CAGLIARI;;6,53;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6,5;6;6
893;LUVUMBO S.;A;A;CAGLIARI;15;6,04;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;0;6;6,5;6,5
973;KILICSOY S.;A;A;CAGLIARI;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ALL.;FABREGAS C.;ALL;ALL;COMO;;8;;;;;8;;;;;8;;;;;;;0;0;;;;;;;;;;
103;BUTEZ J.;P;P;COMO;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
296;KEMPF M.;D;D;COMO;;6,53;0;0;0;0;7;0;0;0;0;7;0;0;0;0;6,75;6,83;0;0;0;0;0;0;0;0;1;6,5;7;7
360;ROBERTO S.;D;D;COMO;;6,53;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;6,5;6,5;0;0;0;0;0;0;0;0;0;6,5;0;0
379;SMOLCIC I.;D;D;COMO;15;6,04;0;0;0;0;6;0;0;0;0;s,v,;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;0
394;VALLE A.;D;D;COMO;;7,04;0;0;0;0;7,5;0;0;0;0;6;0;0;0;0;7,25;6,83;0;0;0;0;0;0;0;0;1;7;7,5;6
395;VAN DER BREMPT I.;D;D;COMO;;6,53;0;0;0;0;7;0;0;0;0;6,5;0;0;0;0;6,75;6,67;1;0;0;0;0;0;0;0;1;6;6,5;6
402;VOJVODA M.;D;D;COMO;;7,53;0;0;0;0;7,5;0;0;0;0;6,5;0;0;0;0;7,5;7,17;0;0;0;0;0;0;0;0;1;7,5;7,5;6,5
423;RAMON J.;D;D;COMO;;7,04;0;0;0;0;7,5;0;0;0;0;6,5;0;0;0;0;7,25;7;0;0;0;0;0;0;0;0;1;7;7,5;6,5
537;CAQUERET M.;C;C;COMO;;6,53;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;6,5;6,5;0;0;0;0;0;0;0;0;0;6,5;0;0
551;DA CUNHA L.;C;C;COMO;;7,04;0;0;0;0;7,5;0;0;0;0;6;0;0;0;0;7,25;6,83;0;0;0;0;0;0;0;0;1;7;7,5;6
645;PAZ N.;C;C;COMO;;8,04;1;0;0;1;9;1;0;0;1;8;1;0;0;1;8,5;8,33;1;0;0;0;0;0;0;0;1;11,5;11,5;11,5
649;PERRONE M.;C;C;COMO;;7,04;0;0;0;0;7;0;0;0;0;6;0;0;0;0;7;6,67;0;0;0;0;0;0;0;0;1;7;7;6
854;DOUVIKAS T.;A;A;COMO;;7,53;1;0;0;0;7,5;1;0;0;0;7;1;0;0;0;7,5;7,33;0;0;1;0;0;0;0;0;1;10,5;10,5;10
881;KUHN N.;A;A;COMO;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
937;RODRIGUEZ J.;A;A;COMO;;7,53;0;0;0;0;7;0;0;0;0;6;0;0;0;0;7,25;6,83;0;0;0;0;0;0;0;0;1;7,5;7;6
974;MORATA A.;A;A;COMO;15;6,53;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,5;6,33;0;0;0;0;0;0;0;0;0;6,5;6,5;6
ALL.;NICOLA D.;ALL;ALL;CREMONESE;;8;;;;;7;;;;;7,5;;;;;;;0;0;;;;;;;;;;
100;AUDERO E.;P;P;CREMONESE;;6,04;0;1;0;0;6;0;1;0;0;6,5;0;1;0;0;6;6,17;0;0;0;0;0;0;0;0;1;5;5;5,5
213;BASCHIROTTO F.;D;D;CREMONESE;;8,04;1;0;0;0;8;1;0;0;0;8;1;0;0;0;8;8;0;0;0;0;0;0;0;0;1;11;11;11
218;BIANCHETTI M.;D;D;CREMONESE;;6,53;0;0;0;0;7;0;0;0;0;7;0;0;0;0;6,75;6,83;0;0;0;0;0;0;0;0;1;6,5;7;7
233;CECCHERINI F.;D;D;CREMONESE;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
385;TERRACCIANO F.;D;D;CREMONESE;;6,53;0;0;0;0;6;0;0;0;0;7;0;0;0;0;6,25;6,5;1;0;0;0;0;0;0;0;1;6;5,5;6,5
422;PEZZELLA GI.;D;D;CREMONESE;;7,04;0;0;0;1;6,5;0;0;0;1;6,5;0;0;0;1;6,75;6,67;0;0;0;0;0;0;0;0;1;8;6,5;7,5
528;BONDO W.;C;C;CREMONESE;15;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;1;0;0;0;0;0;0;0;0;5,5;5,5;5,5
546;COLLOCOLO M.;C;C;CREMONESE;;6,53;0;0;0;0;7;0;0;0;0;6,5;0;0;0;0;6,75;6,67;0;0;0;0;0;0;0;0;1;6,5;7;6,5
644;PAYERO M.;C;C;CREMONESE;15;6,04;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,75;5,67;1;0;0;0;0;0;0;0;0;5,5;5;5
686;VANDEPUTTE J.;C;C;CREMONESE;;5,53;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;1;5,5;5,5;5,5
699;GRASSI A.;C;C;CREMONESE;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;1;0;0;0;0;0;0;0;1;5,5;5,5;5,5
819;BONAZZOLI F.;A;A;CREMONESE;;8,04;1;0;0;0;7,5;1;0;0;0;7,5;1;0;0;0;7,75;7,67;0;0;1;0;0;0;0;0;1;11;10,5;10,5
848;DE LUCA M.;A;A;CREMONESE;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
918;OKEREKE D.;A;A;CREMONESE;;6,04;0;0;0;0;6;0;0;0;0;5;0;0;0;0;6;5,67;0;0;0;0;0;0;0;0;1;6;6;5
939;SANABRIA A.;A;A;CREMONESE;15;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
965;ZERBIN A.;A;A;CREMONESE;;6,53;0;0;0;1;6,5;0;0;0;1;6,5;0;0;0;1;6,5;6,5;0;0;0;0;0;0;0;0;1;7,5;6,5;7,5
ALL.;PIOLI S.;ALL;ALL;FIORENTINA;;6;;;;;5,5;;;;;5,5;;;;;;;0;0;;;;;;;;;;
110;DE GEA D.;P;P;FIORENTINA;;6,04;0;1;0;0;5,5;0;1;0;0;5,5;0;1;0;0;5,75;5,67;0;0;0;0;0;0;0;0;1;5;4,5;4,5
240;COMUZZO P.;D;D;FIORENTINA;;6,04;0;0;0;0;5,5;0;0;0;0;6;0;0;0;0;5,75;5,83;0;0;0;0;0;0;0;0;1;6;5,5;6
278;GOSENS Robin;D;D;FIORENTINA;;6,04;0;0;0;0;6,5;0;0;0;0;5,5;0;0;0;0;6,25;6;0;0;0;0;0;0;0;0;1;6;6,5;5,5
316;MARI P.;D;D;FIORENTINA;15;5,04;0;0;0;0;4,5;0;0;0;0;5,5;0;0;0;0;4,75;5;1;0;0;0;0;0;0;0;0;4,5;4;5
341;PARISI F.;D;D;FIORENTINA;;6,04;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,75;5,67;0;0;0;0;0;0;0;0;0;6;5,5;5,5
352;PONGRACIC M.;D;D;FIORENTINA;;6,04;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,75;5,67;1;0;0;0;0;0;0;0;1;5,5;5;5
356;RANIERI L.;D;D;FIORENTINA;;5,53;0;0;0;0;6;0;0;0;0;6;0;0;0;0;5,75;5,83;0;0;0;0;0;0;0;0;1;5,5;6;6
399;VITI M.;D;D;FIORENTINA;15;5,53;0;0;0;0;6;0;0;0;0;6;0;0;0;0;5,75;5,83;0;0;0;0;0;0;0;0;0;5,5;6;6
411;DODO;D;D;FIORENTINA;;6,53;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;6;6,17;0;0;0;0;0;0;0;0;1;6,5;5,5;6,5
568;FAGIOLI N.;C;C;FIORENTINA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
571;FAZZINI J.;C;C;FIORENTINA;15;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
621;MANDRAGORA R.;C;C;FIORENTINA;15;7,04;1;0;0;0;7;1;0;0;0;7;1;0;0;0;7;7;0;0;0;0;0;0;0;0;0;10;10;10
637;NDOUR C.;C;C;FIORENTINA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
669;SOHM S.;C;C;FIORENTINA;;5,53;0;0;0;0;5;0;0;0;0;6;0;0;0;0;5,25;5,5;0;0;0;0;0;0;0;0;1;5,5;5;6
868;GUDMUNDSSON A.;A;A;FIORENTINA;;5,53;0;0;0;1;6;0;0;0;1;5,5;0;0;0;1;5,75;5,67;0;0;0;0;0;0;0;0;1;6,5;6;6,5
877;KEAN M.;A;A;FIORENTINA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
ALL.;VIERA P.;ALL;ALL;GENOA;;6;;;;;6;;;;;5;;;;;;;0;0;;;;;;;;;;
120;LEALI N.;P;P;GENOA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
315;MARCANDALLI A.;D;D;GENOA;;6,04;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;1;6;6,5;6,5
319;MARTIN A.;D;D;GENOA;;6,04;0;0;0;0;6;0;0;0;0;6,5;0;0;0;0;6;6,17;1;0;0;0;0;0;0;0;1;5,5;5,5;6
333;NORTON-CUFFY B.;D;D;GENOA;;6,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;6;5,83;0;0;0;0;0;0;0;0;1;6;6;5,5
396;VASQUEZ J.;D;D;GENOA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
538;CARBONI V.;C;C;GENOA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
563;ELLERTSSON M.;C;C;GENOA;15;6,04;0;0;0;0;s,v,;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;0;6
576;FRENDRUP M.;C;C;GENOA;;6,04;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
582;GRONBAEK A.;C;C;GENOA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
626;MASINI P.;C;C;GENOA;;6,04;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,25;6,17;0;0;0;0;0;0;0;0;1;6;6,5;6
630;MESSIAS J.;C;C;GENOA;15;6,04;0;0;0;0;5,5;0;0;0;0;5;0;0;0;0;5,75;5,5;0;0;0;0;0;0;0;0;0;6;5,5;5
671;STANCIU N.;C;C;GENOA;;6,53;0;0;0;0;7;0;0;0;0;6;0;0;0;0;6,75;6,5;0;0;0;0;0;0;0;0;1;6,5;7;6
677;THORSBY M.;C;C;GENOA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
840;COLOMBO L.;A;A;GENOA;;5,53;0;0;0;0;5,5;0;0;0;0;5;0;0;0;0;5,5;5,33;0;0;0;0;0;0;0;0;1;5,5;5,5;5
858;EKHATOR J.;A;A;GENOA;15;5,53;0;0;0;0;s,v,;0;0;0;0;6;0;0;0;0;5,5;5,75;1;0;0;0;0;0;0;0;0;5;0;5,5
960;VITINHA;A;A;GENOA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALL.;TUDOR I.;ALL;ALL;JUVENTUS;;6,5;;;;;6,5;;;;;6,5;;;;;;;1;0;;;;;;;;;;
112;DI GREGORIO M.;P;P;JUVENTUS;;6,04;0;0;0;0;6;0;0;0;0;6,5;0;0;0;0;6;6,17;0;0;0;0;0;0;0;0;1;6;6;6,5
223;BREMER G.;D;D;JUVENTUS;;7,04;0;0;0;0;7;0;0;0;0;7;0;0;0;0;7;7;0;0;0;0;0;0;0;0;1;7;7;7
228;CAMBIASO A.;D;D;JUVENTUS;;5,04;0;0;0;0;4;0;0;0;0;5;0;0;0;0;4,5;4,67;0;1;0;0;0;0;0;0;1;4;3;4
270;GATTI F.;D;D;JUVENTUS;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;1;0;0;0;0;0;0;0;1;5,5;5,5;5,5
293;KALULU P.;D;D;JUVENTUS;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
295;KELLY L.;D;D;JUVENTUS;;6,04;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;1;6;6,5;6,5
418;MARIO J.;D;D;JUVENTUS;15;6,53;0;0;0;0;6,5;0;0;0;0;6;0;0;0;0;6,5;6,33;0;0;0;0;0;0;0;0;0;6,5;6,5;6
603;KOOPMEINERS T.;C;C;JUVENTUS;15;6,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;6;5,83;0;0;0;0;0;0;0;0;0;6;6;5,5
614;LOCATELLI M.;C;C;JUVENTUS;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
628;MCKENNIE W.;C;C;JUVENTUS;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
679;THURAM K.;C;C;JUVENTUS;;6,53;0;0;0;0;6,5;0;0;0;0;6,5;0;0;0;0;6,5;6,5;0;0;0;0;0;0;0;0;1;6,5;6,5;6,5
845;DAVID J.;A;A;JUVENTUS;;7,04;1;0;0;0;7;1;0;0;0;7;1;0;0;0;7;7;0;0;1;0;0;0;0;0;1;10;10;10
